Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,City,last_updated,Measure Display,parent_metro_region,Period Begin,Period End,State,Table Id,Worksheet Filter,active_listings,active_listings_mom,active_listings_yoy,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Number of Records,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region_metro_code,pending_sales,pending_sales_mom,pending_sales_yoy,Period Duration,Price Drops,Price Drops Mom,Price Drops Yoy,property_type_id,region_type_id,Sold Above List,Sold Above List Mom,Sold Above List Yoy
Idaho,Dec-19,All Residential,State,FALSE,ID,,9/12/21 15:00,,West Region,12/1/19,12/31/19,Idaho,27,Value,7018,-0.118120131,0.024077047,0.989738099,0.10%,0.20%,2132,-4.80%,22.70%,5137,-10.90%,1.60%,50,6,-8,174,-0.007775361,0.098022391,318700,0.021295214,0.083933856,168,-0.001631334,0.092463391,$302K,-1.70%,10.80%,2.4,-0.2,-0.5,1283,-26.00%,4.60%,1,0.349668046,-0.034631245,0.036712839,,1166,-20.60%,3.80%,30,0.121471676,-0.036468685,0.001859181,-1,4,0.207317073,-0.001611498,0.00363468
Alabama,Sep-19,All Residential,State,FALSE,AL,,9/12/21 15:00,,South Region,9/1/19,9/30/19,Alabama,1,Value,13114,-0.037292615,-0.005234014,0.975020437,-0.10%,0.20%,2958,-12.40%,7.30%,9811,-1.80%,-4.60%,57,5,-10,105,0.018586967,0.085611177,203800,0.016659349,0.082524274,100,-0.010315444,0.062978903,$200K,-1.20%,8.90%,3.3,0.3,-0.4,3254,-5.30%,23.30%,1,0.198208079,0.00440004,0.094057805,,2184,-13.30%,21.40%,30,0.177453878,-0.006148084,0.063457185,-1,4,0.199459094,-0.002731551,-0.054077359
Arkansas,Feb-18,All Residential,State,FALSE,AR,,9/12/21 15:00,,South Region,2/1/18,2/28/18,Arkansas,7,Value,7402,0.010787928,-0.09610453,0.961374535,0.20%,0.10%,1064,9.50%,6.90%,6121,3.90%,-10.60%,92,2,-9,91,0.004284528,-0.005532303,158400,0.025924723,-0.001779999,85,0.065094333,0.048861288,$148K,6.60%,3.40%,5.8,-0.3,-1.1,1642,7.80%,-8.00%,1,0.320313595,0.065145802,-0.014736927,,696,-2.70%,5.50%,30,0.119915047,-0.012275688,-0.002200057,-1,4,0.104323308,0.003500263,-0.002209355
Connecticut,Aug-21,All Residential,State,FALSE,CT,,9/12/21 15:00,,Northeast Region,8/1/21,8/31/21,Connecticut,13,Value,18352,-0.041570921,-0.189792945,1.016860187,-0.70%,2.50%,5796,-3.70%,-5.70%,12043,-4.50%,-24.40%,44,1,-13,184,0.000853407,0.079745243,320400,-0.022811337,0.009386898,188,-0.021002582,0.124271636,$352K,-4.50%,2.90%,2.1,0,-0.5,5805,-11.70%,-10.80%,1,0.290804228,0.035216162,0.111300462,,5382,-6.50%,5.70%,30,0.191397492,0.015491394,0.043830773,-1,4,0.568150449,-0.036566376,0.204706438
Iowa,Jun-18,All Residential,State,FALSE,IA,,9/12/21 15:00,,Midwest Region,6/1/18,6/30/18,Iowa,33,Value,5651,-0.030869491,-0.229163825,0.987839317,0.10%,0.10%,1675,4.00%,-8.70%,4017,2.00%,-26.40%,34,-8,-33,141,-0.016296792,0.035342834,202500,-0.033321546,0.046205808,143,0.027980133,0.061887947,$203K,2.70%,5.10%,2.4,0,-0.6,1800,-7.10%,-4.40%,1,0.4681351,-0.03917617,0.406364774,,1257,-11.30%,-5.10%,30,0.198904655,0.020940705,0.193223878,-1,4,0.268656716,0.004845419,-0.014331288
Maine,Oct-20,All Residential,State,FALSE,ME,,9/12/21 15:00,,Northeast Region,10/1/20,10/31/20,Maine,41,Value,6012,-0.05248227,-0.319986427,0.991337645,-0.30%,2.30%,2500,2.90%,25.60%,3719,-3.60%,-44.90%,23,0,-15,169,0.017699639,0.154570752,274500,0.017076135,0.15860789,168,0.012773923,0.165838678,$279K,2.10%,24.50%,1.5,-0.1,-1.9,2240,-9.50%,27.90%,1,0.561390062,-0.003795106,0.177504107,,1918,-8.10%,41.50%,30,0.251949449,0.005771683,-0.007205481,-1,4,0.3616,-0.01509823,0.144121346
North Carolina,Aug-21,All Residential,State,FALSE,NC,,9/12/21 15:00,,South Region,8/1/21,8/31/21,North Carolina,18,Value,27743,-0.070990858,-0.277356672,1.023053234,-0.30%,3.20%,12322,0.40%,6.70%,17586,-0.80%,-32.10%,32,0,-17,174,0.023023994,0.202108319,334300,0.029800211,0.16710147,171,0.016737502,0.201249779,$324K,0.10%,12.80%,1.4,0,-0.8,10143,-16.60%,-15.70%,1,0.292188103,-0.058646151,0.018860798,,6466,-12.30%,4.90%,30,0.186284545,0.014909143,0.047975588,-1,4,0.573040091,-0.009613968,0.233152694
New York,Mar-18,All Residential,State,FALSE,NY,,9/12/21 15:00,,Northeast Region,3/1/18,3/31/18,New York,16,Value,64669,0.068750103,-0.08988685,0.97137974,0.20%,0.30%,9656,15.60%,-2.40%,51558,3.80%,-10.80%,86,4,-14,368,-0.066348224,0.062104479,492900,-0.063490953,0.046721512,341,0.033505521,0.064834942,$411K,-0.30%,4.70%,5.3,-0.6,-0.5,16230,22.30%,-6.70%,1,0.27671556,0.015505502,0.051880106,,8038,38.30%,3.70%,30,0.135362116,0.018483969,0.005759735,-1,4,0.203707539,0.016229986,0.025875873
New York,Oct-19,All Residential,State,FALSE,NY,,9/12/21 15:00,,Northeast Region,10/1/19,10/31/19,New York,16,Value,75589,-0.02248862,-0.021235546,0.975998723,-0.40%,0.10%,13304,7.80%,-0.50%,59605,-3.60%,-3.20%,65,4,3,377,-0.03524933,-0.058596311,505400,-0.022099741,-0.017143368,346,-0.00985815,0.008347668,$395K,-2.30%,2.70%,4.5,-0.5,-0.1,15125,-13.50%,-4.10%,1,0.190827987,-0.02481122,-0.011487013,,9152,5.20%,1.70%,30,0.232044292,0.003710958,0.012091373,-1,4,0.225721587,-0.023488747,-0.00586995
Tennessee,Dec-20,All Residential,State,FALSE,TN,,9/12/21 15:00,,South Region,12/1/20,12/31/20,Tennessee,34,Value,20435,-0.093228612,-0.237158429,0.989628716,-0.20%,0.90%,8389,15.90%,23.10%,12893,-14.00%,-34.60%,41,1,-18,155,0.015877611,0.124328188,285100,-0.013653301,0.108927493,150,0.011912184,0.098349727,$292K,0.40%,9.20%,1.5,-0.6,-1.4,5499,-18.60%,17.50%,1,0.283503431,-0.025042007,0.112398314,,5863,-2.40%,27.70%,30,0.133405724,-0.034394276,0.020924124,-1,4,0.282512814,-0.014474471,0.104617614
Virginia,May-19,All Residential,State,FALSE,VA,,9/12/21 15:00,,South Region,5/1/19,5/31/19,Virginia,42,Value,34261,0.064965341,-0.024153351,0.9943779,0.20%,0.20%,10671,20.40%,4.80%,22561,6.70%,-2.60%,27,-3,4,182,-0.001132242,0.002787541,375000,-0.017843888,0.022274043,183,0.001025912,0.011598183,$364K,-1.00%,2.70%,2.1,-0.3,-0.2,13409,2.50%,-2.50%,1,0.419887195,-0.049624551,-0.061771036,,10108,8.50%,-0.40%,30,0.246044058,0.028683604,-0.035840062,-1,4,0.312060725,0.005270741,0.023555768
Wisconsin,Jul-21,All Residential,State,FALSE,WI,,9/12/21 15:00,,Midwest Region,7/1/21,7/31/21,Wisconsin,48,Value,26941,0.016066378,-0.082765899,1.027429886,-0.50%,3.20%,8798,-4.20%,-4.00%,17894,3.30%,-11.00%,45,1,-9,143,0.017001154,0.102005848,242600,-0.000942138,0.061404392,146,-0.005937678,0.139325121,$256K,-2.10%,11.00%,2,0.1,-0.2,9701,-8.80%,4.20%,1,0.16605421,-0.027219685,0.026344491,,8092,-1.40%,12.50%,30,0.155750531,0.033248509,0.01767022,-1,4,0.60559218,-0.015705729,0.200354864
Alabama,Nov-19,All Residential,State,FALSE,AL,,9/12/21 15:00,,South Region,11/1/19,11/30/19,Alabama,1,Value,11861,-0.065621553,-0.037490871,0.975978241,0.10%,0.20%,2490,-9.60%,-1.70%,9069,-5.50%,-6.00%,59,3,-15,105,-0.004504156,0.052194631,200700,-0.042590417,0.061236282,102,0.003439611,0.055126377,$200K,0.80%,7.40%,3.6,0.1,-0.2,2360,-21.40%,4.80%,1,0.18880712,-0.00071046,0.111168431,,1810,-11.50%,15.90%,30,0.137391113,-0.042721458,0.052313392,-1,4,0.183534137,0.00640165,-0.054034924
Colorado,Aug-18,All Residential,State,FALSE,CO,,9/12/21 15:00,,West Region,8/1/18,8/31/18,Colorado,11,Value,26656,0.013227915,0.062838915,0.994595927,-0.40%,-0.30%,7684,3.30%,-0.40%,17197,3.30%,4.60%,23,4,1,192,0.013750963,0.063366386,387100,-0.002453147,0.057823065,163,0.001769014,0.077281813,$407K,-0.30%,7.50%,2.2,0,0.1,10137,1.00%,9.70%,1,0.411741124,-0.038798986,-0.032497914,,8203,-4.60%,10.20%,30,0.348200267,0.031882929,0.036733828,-1,4,0.303487767,-0.06474231,-0.047218832
Colorado,Jan-20,All Residential,State,FALSE,CO,,9/12/21 15:00,,West Region,1/1/20,1/31/20,Colorado,11,Value,18435,0.010746203,-0.060589075,0.986438745,-0.10%,0.10%,4474,-27.10%,13.50%,11007,-2.20%,-13.60%,45,3,2,204,0.019257599,0.044645836,421200,0.054679852,0.052388538,168,0.00956868,0.056350732,$414K,0.40%,5.40%,2.5,0.7,-0.7,7287,80.90%,0.10%,1,0.514640439,0.195333065,0.046317771,,5495,12.30%,11.20%,30,0.21849732,0.036953666,-0.01581756,-1,4,0.193562807,0.001737372,0.013750482
Iowa,Oct-20,All Residential,State,FALSE,IA,,9/12/21 15:00,,Midwest Region,10/1/20,10/31/20,Iowa,33,Value,4546,0.00264667,-0.199365974,0.988752143,0.20%,1.10%,1682,5.30%,31.20%,2913,0.70%,-30.80%,28,0,-13,165,0.049929817,0.167062354,229600,0.042228014,0.182028075,155,0.002546055,0.105162336,$225K,3.40%,18.40%,1.7,-0.1,-1.6,1678,5.50%,19.20%,1,0.489911193,-0.019963269,0.165925612,,1293,-1.10%,27.40%,30,0.210092688,0.007604782,-0.053914909,-1,4,0.272294887,-0.001343184,0.059346369
Indiana,Aug-21,All Residential,State,FALSE,IN,,9/12/21 15:00,,Midwest Region,8/1/21,8/31/21,Indiana,31,Value,8931,0.020685714,-0.113988095,1.008128057,-0.50%,1.80%,4636,-1.80%,1.90%,3487,-11.40%,-36.30%,6,1,-8,124,0.020452112,0.151928648,239200,-0.004470799,0.118047855,121,-0.000930389,0.152380255,$246K,-2.60%,10.50%,0.8,0,-0.4,5025,-5.80%,9.90%,1,0.721115967,-0.031126218,0.076209439,,5142,12.10%,24.10%,30,0.449383424,0.102496512,0.135238687,-1,4,0.471958585,-0.030160059,0.182820502
Kansas,Oct-19,All Residential,State,FALSE,KS,,9/12/21 15:00,,Midwest Region,10/1/19,10/31/19,Kansas,35,Value,4311,-0.014403292,-0.088776157,0.957173032,-2.80%,-0.60%,1246,6.20%,-1.70%,134,-2.90%,-24.30%,30,-1,-7,122,-0.029386088,0.015215694,253800,-0.073010053,0.006520928,120,-0.009176206,0.021736308,$259K,2.70%,7.80%,0.1,0,0,1259,-10.10%,0.30%,1,0.387372237,-0.05834994,0.067058046,,28,-6.70%,-24.30%,30,0.231343284,0.129894008,0.033603171,-1,4,0.333333333,0.09009009,0.210884354
Kentucky,Nov-19,All Residential,State,FALSE,KY,,9/12/21 15:00,,South Region,11/1/19,11/30/19,Kentucky,37,Value,10862,-0.096790288,-0.051685001,0.973567843,0.00%,0.30%,2821,-12.60%,5.60%,7686,-8.20%,-8.90%,34,2,-9,113,-0.004783772,0.069956907,184800,-0.054575396,0.036101864,107,-0.026050031,0.013937401,$183K,-4.30%,2.20%,2.7,0.1,-0.5,2567,-27.80%,1.90%,1,0.374143565,-0.018862692,0.097474639,,2315,-17.40%,8.80%,30,0.186312776,-0.060460646,0.043912966,-1,4,0.15349167,-0.003930084,0.007533586
Kentucky,Nov-20,All Residential,State,FALSE,KY,,9/12/21 15:00,,South Region,11/1/20,11/30/20,Kentucky,37,Value,8073,-0.10230179,-0.258337161,0.984930234,-0.30%,1.10%,3319,-11.20%,17.40%,4776,-8.40%,-38.00%,20,2,-14,124,-0.009841831,0.094761314,208500,-0.031140622,0.125669842,122,0.012464173,0.140177036,$216K,0.00%,18.00%,1.4,0,-1.3,2896,-27.50%,12.70%,1,0.491287194,-0.060865357,0.117434905,,2857,-14.40%,23.40%,30,0.224455611,-0.024201334,0.038188737,-1,4,0.257306418,-0.020263176,0.103378604
Massachusetts,Mar-19,All Residential,State,FALSE,MA,,9/12/21 15:00,,Northeast Region,3/1/19,3/31/19,Massachusetts,45,Value,20148,0.157133012,0.150788211,0.987821727,0.70%,-0.60%,4787,31.40%,3.10%,12780,6.30%,22.80%,34,-11,4,294,0.001486186,0.042026641,502200,0.043567119,0.043969595,273,0.052398596,0.006176611,$431K,4.70%,3.60%,2.7,-0.6,0.5,8284,46.60%,10.30%,1,0.625986574,0.082447135,-0.03589175,,5930,55.30%,0.40%,30,0.215571205,0.029927023,0.023969399,-1,4,0.303112597,0.048307544,-0.053707054
Massachusetts,Dec-20,All Residential,State,FALSE,MA,,9/12/21 15:00,,Northeast Region,12/1/20,12/31/20,Massachusetts,45,Value,13841,-0.24312353,-0.164392659,1.007093051,-0.50%,2.00%,7807,12.50%,21.90%,7427,-29.00%,-28.80%,24,3,-13,304,-0.011190334,0.120803595,479900,-0.042404987,0.075838422,297,-0.008525044,0.102663168,$507K,-0.80%,11.30%,1,-0.5,-0.6,3419,-36.60%,39.30%,1,0.216863064,-0.043111186,0.08153453,,5101,-25.20%,29.70%,30,0.151205063,-0.064186907,-0.006245824,-1,4,0.494812348,-0.047064544,0.205572929
Maine,Sep-18,All Residential,State,FALSE,ME,,9/12/21 15:00,,Northeast Region,9/1/18,9/30/18,Maine,41,Value,9841,-0.003241163,-0.035290658,0.96876875,-0.40%,0.30%,1779,-21.50%,-8.00%,7901,2.30%,-3.70%,37,5,-10,138,0.018591813,0.048099633,223200,0.039771016,0.035767517,133,-0.047062171,0.002983201,$217K,-4.90%,3.70%,4.4,1,0.2,2266,-22.50%,16.00%,1,0.386083458,-0.047362286,0.03531817,,1375,-18.10%,7.80%,30,0.285406911,-0.030655266,0.016035565,-1,4,0.209106239,-0.022240339,0.013037952
Minnesota,Aug-21,All Residential,State,FALSE,MN,,9/12/21 15:00,,Midwest Region,8/1/21,8/31/21,Minnesota,49,Value,20138,0.036331824,-0.129619225,1.022058319,-0.90%,1.90%,9187,0.50%,-1.30%,10680,0.20%,-18.30%,15,1,-10,166,0.006042722,0.095449877,311800,-0.004333823,0.084544479,169,0.000444778,0.13396303,$326K,1.30%,11.70%,1.2,0,-0.2,9518,-6.10%,-2.70%,1,0.509823522,-0.026286587,0.024717454,,8923,6.80%,1.20%,30,0.312172285,0.050658355,0.074412187,-1,4,0.56971808,-0.04124712,0.126228608
New Hampshire,Sep-20,All Residential,State,FALSE,NH,,9/12/21 15:00,,Northeast Region,9/1/20,9/30/20,New Hampshire,10,Value,7775,-0.023486561,-0.237595607,1.002551993,0.10%,1.90%,2540,-4.60%,15.50%,5032,-0.60%,-35.50%,46,-1,-12,179,0.006420403,0.101120984,327200,-0.006526205,0.114224731,177,0.010652581,0.113964196,$327K,-0.20%,15.20%,2,0.1,-1.5,2768,-5.30%,13.00%,1,0.412872188,-0.000126628,0.165952368,,2264,-4.40%,36.40%,30,0.127384738,0.005322719,-0.086406598,-1,4,0.502755906,-0.001751983,0.153664996
New Mexico,Feb-18,All Residential,State,FALSE,NM,,9/12/21 15:00,,West Region,2/1/18,2/28/18,New Mexico,14,Value,1000,0.001001001,-0.169435216,0.950998996,-3.90%,-4.30%,187,-0.50%,28.10%,772,-0.80%,-21.10%,94,8,-23,205,-0.032430987,0.021146012,356700,0.067943944,0.07663504,214,0.074765133,0.081627638,$373K,10.70%,16.90%,4.1,0,-2.6,238,11.70%,0.40%,1,0.296945131,0.024930932,-0.05751002,,127,24.50%,35.10%,30,0.14507772,-0.016876007,0.026589467,-1,4,0,-0.005319149,-0.01369863
New Mexico,Jan-19,All Residential,State,FALSE,NM,,9/12/21 15:00,,West Region,1/1/19,1/31/19,New Mexico,14,Value,974,-0.022088353,-0.025025025,0.981427046,0.60%,-0.80%,150,-23.90%,-20.20%,755,-6.60%,-3.00%,91,7,5,233,0.08578993,0.100510421,402800,-0.118150996,0.205964476,220,-0.004265935,0.089517247,$387K,-6.40%,15.00%,5,0.9,0.9,178,53.40%,-16.40%,1,0.215455415,0.037300551,-0.056558784,,107,24.40%,4.90%,30,0.147019868,0.023257491,-0.01493386,-1,4,0.006666667,0.006666667,0.001347518
New Mexico,Feb-21,All Residential,State,FALSE,NM,,9/12/21 15:00,,West Region,2/1/21,2/28/21,New Mexico,14,Value,676,-0.027338129,-0.163366337,0.988871851,-0.40%,3.00%,198,17.90%,17.90%,453,-5.60%,-27.30%,65,12,-24,265,0.076227114,0.101607905,479100,0.176858433,0.16598622,251,-0.043109697,0.122303887,$473K,1.20%,21.50%,2.3,-0.6,-1.4,202,11.60%,5.20%,1,0.468322003,0.169960701,0.09863915,,150,4.90%,50.00%,30,0.103752759,0.005836093,-0.005396518,-1,4,0.025252525,0.025252525,0.019300144
South Carolina,Jul-21,All Residential,State,FALSE,SC,,9/12/21 15:00,,South Region,7/1/21,7/31/21,South Carolina,30,Value,20634,-0.006547906,-0.247565912,1.005260571,0.00%,2.40%,6539,-14.20%,-7.50%,14014,4.90%,-30.30%,45,-2,-34,172,0.024069674,0.160088217,312700,0.026300714,0.128918325,166,-0.000686104,0.172487032,$303K,-1.80%,12.20%,2.1,0.3,-0.7,7373,4.10%,3.60%,1,0.230264029,-0.007760274,0.072720292,,4863,-8.40%,25.20%,30,0.127372627,0.029654707,-0.019567771,-1,4,0.42177703,0.013586979,0.247894744
Utah,May-19,All Residential,State,FALSE,UT,,9/12/21 15:00,,West Region,5/1/19,5/31/19,Utah,38,Value,15451,0.058505172,0.135184777,0.996768296,0.20%,-0.30%,4778,20.50%,15.30%,10282,6.00%,11.80%,29,-4,10,157,0.018456886,0.073719233,353100,0.010867544,0.026391842,154,-0.004190882,0.070309995,$341K,-0.30%,7.40%,2.2,-0.2,0,5947,15.00%,8.50%,1,0.495513316,0.009079944,-0.047496545,,4241,8.80%,9.10%,30,0.263567399,0.041986445,0.032020492,-1,4,0.351611553,0.014915462,-0.06151586
Utah,Aug-20,All Residential,State,FALSE,UT,,9/12/21 15:00,,West Region,8/1/20,8/31/20,Utah,38,Value,11703,-0.059244373,-0.224658805,1.001114548,0.20%,0.80%,5001,-7.00%,5.60%,6368,-7.60%,-36.30%,22,-3,-10,187,0.00133968,0.162061279,421500,0.038696862,0.184630429,181,0.052482187,0.156416116,$396K,1.90%,13.50%,1.3,0,-0.8,4909,-2.30%,-2.40%,1,0.556742407,0.037512994,0.166791123,,4617,-0.60%,17.50%,30,0.211683417,-0.003151828,-0.125418844,-1,4,0.426714657,0.031733244,0.117039963
Vermont,Feb-19,All Residential,State,FALSE,VT,,9/12/21 15:00,,Northeast Region,2/1/19,2/28/19,Vermont,40,Value,4742,-0.007742205,0.010656436,0.95805881,0.60%,1.10%,391,-9.90%,4.00%,4174,0.40%,-0.60%,140,23,-5,144,0.058463877,0.053996897,268900,0.073592213,0.081356703,126,-0.019825908,-0.009064049,$225K,2.60%,-0.60%,10.7,1.1,-0.5,690,6.60%,0.40%,1,0.286811505,0.05575198,-0.022064004,,221,12.80%,34.80%,30,0.103018687,-0.007397478,0.00392388,-1,4,0.117647059,-0.022905937,-0.002033792
Washington,Apr-19,All Residential,State,FALSE,WA,,9/12/21 15:00,,West Region,4/1/19,4/30/19,Washington,44,Value,28617,0.103242222,0.132584003,1.002208997,0.60%,-1.90%,9465,17.10%,-3.30%,16904,10.10%,19.90%,17,-12,2,250,-0.008151742,0.054613353,457600,-0.022237471,0.060318816,244,0.047654068,0.015752053,$441K,3.00%,2.30%,1.8,-0.1,0.4,13459,14.70%,3.20%,1,0.638827639,-0.013216548,-0.056095763,,10173,17.80%,0.00%,30,0.227875059,0.027119703,0.064836977,-1,4,0.374326466,0.06276184,-0.125213928
Alaska,Aug-18,All Residential,State,FALSE,AK,,9/12/21 15:00,,West Region,8/1/18,8/31/18,Alaska,3,Value,5396,0.010486891,0.009164017,0.984777188,0.00%,0.10%,793,14.90%,0.10%,4404,-2.40%,0.30%,84,2,0,165,0.009102096,0.015877733,287800,-0.001861245,0.023931246,164,-0.007727712,0.033244982,$292K,-3.10%,3.80%,5.6,-0.9,0.1,967,-7.10%,-8.50%,1,0.04998391,0.01212158,0.00080494,,542,18.30%,2.80%,30,,,,-1,4,0.176544767,0.0098781,0.017453858
Arkansas,Aug-20,All Residential,State,FALSE,AR,,9/12/21 15:00,,South Region,8/1/20,8/31/20,Arkansas,7,Value,7210,-0.060586319,-0.171454838,0.972714983,-0.40%,0.50%,2065,-5.30%,17.80%,4975,-6.30%,-26.00%,58,-3,-7,101,0.000968219,0.105467953,179900,0.009552708,0.152853959,98,0.008516411,0.056373697,$172K,-0.70%,7.90%,2.4,0,-1.4,2018,-10.10%,1.60%,1,0.235080578,-0.006386556,0.049993969,,1617,-2.60%,27.40%,30,0.128643216,-0.002569133,-0.049280021,-1,4,0.157869249,0.002823378,0.043208668
Arizona,Jun-20,All Residential,State,FALSE,AZ,,9/12/21 15:00,,West Region,6/1/20,6/30/20,Arizona,5,Value,31257,-0.02777605,-0.160457683,0.988793987,0.20%,0.40%,11310,36.10%,0.70%,18372,-13.80%,-26.80%,44,5,-1,179,0.018115993,0.125239686,320100,0.020395215,0.12361838,171,0.01416682,0.094678106,$304K,4.20%,9.80%,1.6,-1,-0.6,10093,0.40%,-4.70%,1,0.300914049,0.027819925,0.065604919,,10200,12.20%,11.10%,30,0.179730024,-0.019622666,-0.038708845,-1,4,0.237665782,0.02751301,0.059262863
California,Jul-20,All Residential,State,FALSE,CA,,9/12/21 15:00,,West Region,7/1/20,7/31/20,California,9,Value,105201,0.028377876,-0.188063411,0.998762695,0.40%,0.20%,36348,26.20%,5.90%,63356,-1.50%,-29.70%,34,-1,-3,410,0.006954015,0.135559033,672600,0.001368,0.139641099,398,0.026594061,0.039681545,$639K,4.30%,7.50%,1.7,-0.5,-0.9,41556,16.30%,5.40%,1,0.435986082,0.024491509,0.133408014,,33558,13.10%,8.90%,30,0.199744302,0.000742887,-0.064614078,-1,4,0.386816331,0.03953527,0.042670139
California,Nov-20,All Residential,State,FALSE,CA,,9/12/21 15:00,,West Region,11/1/20,11/30/20,California,9,Value,95419,-0.071916975,-0.083258875,1.010663753,0.10%,1.70%,33523,-10.60%,22.40%,54167,-12.20%,-23.70%,26,0,-16,382,-0.089243987,0.076815268,644600,-0.056810465,0.140544098,384,0.012199968,0.115832206,$672K,-0.10%,13.50%,1.6,0,-1,34136,-18.30%,43.80%,1,0.492089555,0.046158124,0.223971939,,36010,1.30%,55.90%,30,0.168866653,-0.032274851,-0.044042299,-1,4,0.498254929,0.01025365,0.176618997
Delaware,Mar-18,All Residential,State,FALSE,DE,,9/12/21 15:00,,South Region,3/1/18,3/31/18,Delaware,15,Value,3605,0.045230502,-0.182168784,0.983194183,0.10%,1.40%,780,32.70%,0.10%,2559,-1.50%,-22.50%,57,-2,-16,132,0.024066786,0.041912486,234100,0.041315876,0.02885356,123,0.029384076,0.043214287,$212K,5.00%,0.90%,3.3,-1.1,-0.9,1074,16.40%,-11.50%,1,0.478122832,-0.010547596,0.084271437,,686,29.90%,1.00%,30,0.228604924,0.000737333,0.035144433,-1,4,0.215384615,0.006200942,0.057489879
Delaware,May-21,All Residential,State,FALSE,DE,,9/12/21 15:00,,South Region,5/1/21,5/31/21,Delaware,15,Value,2276,0.062558357,-0.098256735,1.003890464,0.60%,2.10%,950,5.30%,29.60%,1106,2.70%,-32.10%,12,-2,-20,156,0.007316487,0.138894441,299200,0.058121193,0.148690662,150,0.016621741,0.130984144,$275K,3.00%,10.80%,1.2,0,-1,1204,-2.50%,37.40%,1,0.654970666,0.007122136,0.163044128,,1101,10.50%,51.20%,30,0.184448463,0.021960069,0.006315785,-1,4,0.374736842,0.029947485,0.140084728
Florida,May-19,All Residential,State,FALSE,FL,,9/12/21 15:00,,South Region,5/1/19,5/31/19,Florida,19,Value,177098,-0.026313475,0.059946613,0.967924025,0.20%,0.00%,41147,8.40%,6.80%,133083,-3.00%,5.90%,58,0,4,165,-0.004091758,0.024768465,276700,0.001637123,0.034041932,156,0.0097795,0.038594537,$261K,3.10%,5.00%,3.2,-0.4,-0.1,42481,-1.40%,0.90%,1,0.318043052,0.011243183,-0.008963166,,28360,-2.70%,0.50%,30,0.225941706,-0.005902827,0.014358712,-1,4,0.113884366,0.005771273,-0.010979348
Georgia,Jun-21,All Residential,State,FALSE,GA,,9/12/21 15:00,,South Region,6/1/21,6/30/21,Georgia,21,Value,32667,0.058486164,-0.261445592,1.009638698,0.20%,2.60%,15297,11.30%,16.40%,17275,5.10%,-39.70%,15,0,-28,159,0.014282437,0.154457314,332400,0.007006522,0.129583799,156,0.006781311,0.212857172,$332K,3.40%,21.60%,1.1,-0.1,-1.1,16350,10.80%,19.50%,1,0.59506333,-0.007701015,0.175792984,,14141,7.20%,27.00%,30,0.198552822,0.038540649,-0.014755853,-1,4,0.513303262,0.01563189,0.296815479
Iowa,Jan-20,All Residential,State,FALSE,IA,,9/12/21 15:00,,Midwest Region,1/1/20,1/31/20,Iowa,33,Value,4624,-0.01133205,0.020975933,0.978145682,-0.30%,0.70%,843,-24.90%,19.90%,3540,-1.10%,1.60%,66,14,9,157,0.093929115,0.066252782,227700,0.134300064,0.068807018,143,0.011680945,0.056614722,$198K,-5.10%,4.10%,4.2,1,-0.8,1098,46.00%,9.50%,1,0.365950405,0.053281976,-0.028537758,,643,-4.30%,-1.50%,30,0.161581921,0.029459016,0.007117379,-1,4,0.181494662,0.000567746,0.0193325
Indiana,Jan-18,All Residential,State,FALSE,IN,,9/12/21 15:00,,Midwest Region,1/1/18,1/31/18,Indiana,31,Value,10117,-0.049154135,-0.12026087,0.966839214,-0.30%,0.70%,2266,-30.60%,2.30%,7167,-3.50%,-15.60%,56,4,-13,88,0.060945612,0.111430429,179000,0.088131173,0.095867918,82,-0.015169371,0.097731725,$160K,-6.90%,9.20%,3.2,0.9,-0.6,2742,32.80%,2.40%,1,0.330866516,0.054143303,0.034202544,,1948,-7.20%,11.50%,30,0.226315055,0.067569936,0.023158772,-1,4,0.124448367,2.30E-05,0.026072916
South Carolina,Mar-19,All Residential,State,FALSE,SC,,9/12/21 15:00,,South Region,3/1/19,3/31/19,South Carolina,30,Value,27792,0.074751537,0.027696631,0.976131573,0.00%,-0.10%,5175,29.40%,-0.30%,22058,3.80%,4.90%,84,-11,1,140,0.005336672,0.051482311,261800,0.014237148,0.019912908,131,0.019638254,0.04635119,$233K,3.70%,0.90%,4.3,-1,0.2,6986,19.20%,-4.70%,1,0.228960006,-0.028224026,-0.002614715,,2880,39.30%,-6.00%,30,0.163115423,0.017489835,0.014458423,-1,4,0.144154589,0.008086555,-0.012300131
