Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,City,last_updated,Measure Display,parent_metro_region,Period Begin,Period End,State,Table Id,Worksheet Filter,active_listings,active_listings_mom,active_listings_yoy,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Number of Records,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region_metro_code,pending_sales,pending_sales_mom,pending_sales_yoy,Period Duration,Price Drops,Price Drops Mom,Price Drops Yoy,property_type_id,region_type_id,Sold Above List,Sold Above List Mom,Sold Above List Yoy
California,Aug-18,All Residential,State,FALSE,CA,,9/12/21 15:00,,West Region,8/1/18,8/31/18,California,9,Value,126841,0.032898755,0.074295539,1.000649487,-0.40%,-0.20%,34609,3.50%,-6.80%,88812,3.60%,14.60%,34,3,2,352,-0.01909107,0.059758241,564600,-0.027106874,0.060920431,358,-0.013629914,0.076396129,$581K,-1.50%,7.20%,2.6,0,0.5,41795,1.50%,5.40%,1,0.320380694,-0.013348816,-0.047919657,,30758,0.40%,-7.30%,30,0.300263478,0.028761552,0.044293512,-1,4,0.371319599,-0.031354326,-0.027522152
Colorado,Jan-19,All Residential,State,FALSE,CO,,9/12/21 15:00,,West Region,1/1/19,1/31/19,Colorado,11,Value,19616,0.044515442,0.188344339,0.985124435,-0.10%,-0.70%,3942,-22.90%,-5.00%,12728,2.40%,28.40%,43,3,10,195,0.001237138,0.058187372,400300,0.045186913,0.042811628,163,-0.000859439,0.013127464,$393K,-2.00%,2.00%,3.2,0.8,0.8,7279,102.60%,10.40%,1,0.468451346,0.181550747,-0.096549723,,4943,7.80%,-4.00%,30,0.234443746,0.057320194,0.07297123,-1,4,0.17985794,0.001097917,-0.099794905
Connecticut,May-20,All Residential,State,FALSE,CT,,9/12/21 15:00,,Northeast Region,5/1/20,5/31/20,Connecticut,13,Value,19527,0.05437365,-0.287673731,0.97583082,-0.30%,0.10%,3651,6.50%,-21.60%,15099,5.10%,-30.90%,66,-1,1,177,0.08792359,0.109155877,357300,0.197150876,0.148766943,156,0.010431568,0.033805993,$290K,4.10%,6.70%,4.1,-0.1,-0.6,5502,75.50%,-28.80%,1,0.200166499,0.075641156,0.030400609,,2992,10.70%,-22.30%,30,0.147095834,0.026733843,-0.090217121,-1,4,0.255272528,-0.018064695,0.021316744
Connecticut,Oct-20,All Residential,State,FALSE,CT,,9/12/21 15:00,,Northeast Region,10/1/20,10/31/20,Connecticut,13,Value,21830,-0.029346376,-0.120041922,0.995550628,0.10%,2.40%,6325,5.50%,51.80%,15188,-3.80%,-21.80%,56,-1,-16,172,-0.005573627,0.129045633,319100,-0.025364755,0.181101679,169,-0.002262131,0.167771354,$327K,-1.80%,30.70%,2.4,-0.2,-2.3,6239,-7.90%,32.60%,1,0.163722605,-0.016563981,0.021887078,,5114,-1.50%,74.10%,30,0.170792731,0.005509234,-0.089729653,-1,4,0.40743083,0.019968343,0.189768243
Columbia,Feb-19,All Residential,State,FALSE,DC,,9/12/21 15:00,,South Region,2/1/19,2/28/19,Columbia,17,Value,2245,0.017217943,0.10591133,0.994864778,0.50%,-0.30%,565,-3.70%,-12.50%,1496,4.00%,20.50%,38,-12,6,484,0.041554659,-0.011585884,599000,0.046379596,0.046470999,476,-0.001791616,0.018717949,$575K,8.10%,7.70%,2.6,0.2,0.7,818,10.40%,-0.70%,1,0.519434629,0.133534815,-0.119139115,,566,5.00%,-8.30%,30,0.187834225,-0.038869531,-0.069814729,-1,4,0.299115044,0.038467685,-0.050730157
Columbia,Feb-21,All Residential,State,FALSE,DC,,9/12/21 15:00,,South Region,2/1/21,2/28/21,Columbia,17,Value,2886,0.020148462,0.169841913,1.005116079,0.50%,0.80%,761,17.60%,11.70%,1911,-0.80%,20.80%,40,-5,5,558,0.033632933,0.106908159,620000,0.052546689,-0.027376843,528,0.012957763,0.109800351,$635K,3.50%,8.80%,2.5,-0.5,0.2,978,3.40%,12.20%,1,0.500689655,0.108108511,0.013666754,,725,12.10%,10.70%,30,0.153846154,-0.024669674,-0.044004668,-1,4,0.370565046,0.05990044,0.022547425
Delaware,May-20,All Residential,State,FALSE,DE,,9/12/21 15:00,,South Region,5/1/20,5/31/20,Delaware,15,Value,2524,0.033579034,-0.296544036,0.983222371,-0.40%,-0.10%,733,-6.90%,-19.80%,1628,-2.50%,-34.80%,32,2,-5,137,0.008668048,0.062156854,260500,0.002636812,0.056546678,133,0.014263277,0.039257826,$248K,3.00%,6.80%,2.2,0.1,-0.5,876,36.00%,-25.30%,1,0.491926538,0.104012787,0.067801044,,728,14.60%,-16.10%,30,0.178132678,0.034333996,-0.060057874,-1,4,0.234652115,-0.010582955,-0.00933038
Delaware,Mar-21,All Residential,State,FALSE,DE,,9/12/21 15:00,,South Region,3/1/21,3/31/21,Delaware,15,Value,1953,0.1625,-0.296976242,0.99748216,0.50%,1.30%,812,17.20%,-0.50%,911,-0.90%,-50.00%,24,0,-18,153,0.0269676,0.139426,282200,0.054926993,0.117553316,149,0.053918385,0.13939884,$259K,2.20%,9.00%,1.1,-0.2,-1.1,1037,48.80%,2.10%,1,0.640843151,0.030165243,0.142192879,,920,40.20%,25.00%,30,0.180021954,0.025506176,-0.006586169,-1,4,0.339901478,0.046972185,0.119313243
Florida,Feb-18,All Residential,State,FALSE,FL,,9/12/21 15:00,,South Region,2/1/18,2/28/18,Florida,19,Value,162798,0.032085053,-0.021293736,0.963661642,0.10%,0.10%,26144,11.00%,3.20%,127799,3.30%,-2.60%,61,3,-4,162,-0.007434967,0.057066079,267800,-0.003469625,0.060996672,150,0.00520679,0.084940496,$238K,1.20%,9.00%,4.9,-0.4,-0.3,41523,-6.20%,4.50%,1,0.352957972,0.020118393,0.009418872,,22770,5.00%,3.10%,30,0.217928153,0.004166218,-0.008486079,-1,4,0.106831395,0.002207388,-0.006174328
Florida,Jun-21,All Residential,State,FALSE,FL,,9/12/21 15:00,,South Region,6/1/21,6/30/21,Florida,19,Value,111054,-0.006370453,-0.301476878,0.99401329,0.40%,2.40%,49574,8.30%,42.40%,63455,-1.40%,-44.30%,26,-2,-35,214,0.004484127,0.183267345,351200,0.003019237,0.162423387,205,0.027342326,0.265976191,$341K,2.80%,23.20%,1.3,-0.1,-2,47444,0.90%,16.20%,1,0.511576114,-0.014634543,0.144700851,,41337,1.30%,45.70%,30,0.164352691,0.026610274,-0.015541721,-1,4,0.354621374,0.038320256,0.22638973
